Pop_Order	LOCATION_COMMENTS_F	Population	Lat	Long	R08985_4	R08985_Total	Reseq
1	Anadromous	Kamchatka (anadromous)	na	na	65	78	1
2	Nonanadromous	Kamchatka (nonanadromous)	na	na	55	64	
3	Summer	"Columbia, Washougal (summer)"	45.6096	-122.2405	41	44	
4		"Columbia, Little Klickitat (upper)"	45.9113	-120.7071	19	20	
5		"Columbia, Little Klickitat (middle)"	45.8591	-120.7505	44	48	
6		"Columbia, Little Klickitat (lower)"	45.8185	-120.9942	75	88	
7		"Columbia, Snake, Big Bear (above falls)"	46.733	-116.613	84	84	
8		"Columbia, Snake, Big Bear (below falls)"	46.628	-116.653	96	96	1
9		"Coumbia, Snake, Lemhi"	44.9918	-113.6525	37	82	
10	Summer	"Columbia, Sandi, Still (summer)"	45.298	-121.88	40	44	
11	Winter	"Columbia, Willamette (winter)"	44.2928	-122.467	44	44	
12		"Fort Rock, Buck"	43.1416	-121.1358	35	40	
13		"Klamath, Goose Lake, Thomas"	42.2753	-120.4889	40	40	
14		"Upper Klamath Lake, Williamson, Spring (above marsh)"	42.9464	-121.485	20	44	1
15		"Upper Klamath Lake, Williamson, Spring (below marsh)"	42.8485	-121.76	54	54	
16		"Upper Klamath Lake, Sprague"	42.498	-121.0097	34	34	1
17		"Upper Klamath Lake, Cherry"	42.6275	-122.2097	54	54	
18	Below barrier	"Klamath, Elk, Bear (below barrier)"	41.6297	-123.224	25	32	
19	Above barrier	"Klamath, Elk, Stanza, (above barrier)"	41.6749	-123.3018	45	46	
20	Above barrier	"Klamath, Upper Elk (above barrier)"	41.6961	-123.2813	47	48	
21	Below barrier	"Klamath, East Fork Elk (below barrier)"	41.736	-123.3069	29	40	
22	Below barrier	"Klamath, Clear, Tenmile (below barrier)"	41.8196	-123.5358	23	54	
23	Above barrier	"Klamath, Clear, Slippery (above barrier)"	41.6988	-123.5482	22	22	
24	Below barrier	"Klamath, Ti (below barrier)"	41.5082	-123.4309	35	52	
25	Above barrier	"Klamath, Rock (above barrier)"	41.545	-123.6244	50	54	
26		"Klamath, Trinity, New"	41.0266	-123.3494	39	82	
27		"Klamath, Trinity, Willow"	40.8976	-123.7675	26	46	
28		"Klamath, Trinity, Sandy Bar"	40.1744	-123.0493	63	94	
29	above	"Eel, Cutfinger (above barrier)"	40.1192	-123.0361	44	44	
30	Summer	"Eel, Middle Fork (summer)"	39.7026	-123.2821	19	46	
31	above	"Eel, NF MF (above barrier)"	40.0766	-123.1348	43	44	
32	Winter	"Eel, VAFS (winter)"	39.3839	-123.1141	12	48	1
33		"Sacramento, McCloud, Butcherknife"	41.122	-122.03	42	42	
34		"Sacramento, McCloud, Claiborne"	41.056	-122.0965	48	50	
35		Eagle Lake	40.6474	-120.7444	82	84	
36	Below	Coleman (steelhead)	40.3981	-122.1449	3	48	
37	Below	Feather River (steelhead)	39.5171	-121.5527	11	46	1
38	Below	Nimbus (steelhead)	38.6355	-121.2262	4	46	
39	Below Natural Historical Barrier	"Sacramento, American, South Fork (above reservoir)"	38.8244	-120.9454	25	34	
40	Below	Mokelumne River (steelhead)	38.2211	-121.0381	6	46	
41		Big Creek	37.2257	-119.0815	46	122	1
42	Above barrier	"Arroyo Grande, Lopez Canyon (above barrier)"	35.2403	-120.4754	17	44	
43	Below barrier	"Arroyo Grande, Los Berros Canyon (below barrier)"	35.1065	-120.5879	18	48	
44	Below barrier	Arroyo Grande (below barrier)	35.0999	-120.6286	10	46	
45	Above barrier	"Santa Maria, Sisquoc above barrier)"	34.9029	-120.3123	20	40	
46	Above barrier	"Santa Maria, Cuyama, Reyes (above barrier)"	34.6942	-119.2981	36	54	
47	Above barrier	"Santa Maria, Cuyama, Beartrap (above barrier)"	34.6942	-119.2981	43	52	
48	Above Barrier	"Ventura, Upper NF Matilija (above barrier)"	34.5499	-119.3563	18	46	
49	Below Barrier	"Ventura, NF Matilija, Bear (below barrier)"	34.5088	-119.2516	18	32	
50	Below Barrier	"Ventura, NF Matilija (below barrier)"	34.4853	-119.3013	31	44	
51	"Above Barrier (upper mainstem, 2 of 2)"	"Ventura, Matilija (above barrier)"	34.5735	-119.4358	35	46	
52	Above barrier	"Ventura, Coyote, Santa Ana (above barrier)"	34.4292	-119.3392	27	46	
53	Below barrier	"Ventura, San Antonio (below barrier)"	34.392	-119.2948	16	44	
54	Above San Gabriel Reservoir	West Fork San Gabriel (above reservoir)	34.2467	-118.0177	16	32	
55	Above San Gabriel Reservoir	East Fork San Gabriel (above reservoir)	34.3	-117.759	28	40	
56		"Santa Ana, Temescal, Coldwater Canyon"	33.7554	-117.4931	34	34	
57	Above Lake Henshaw	West Fork San Luis Rey (above Lake Henshaw)	33.3316	-116.8185	19	24	1
58		"Santo Domingo, La Grulla (O. m. nelsoni)"	30.82	-115.625	18	50	
59	Hot Creek -  Virginia Strain 2002	Virginia (Fillmore)	na	na	5	46	
60	Hot Creek -  Wyoming Strain 2002 (Dec)	Wyoming (Fillmore)	na	na	29	48	
61	Mount Shasta Strain	Mount Shasta (American River)	na	na	8	46	
62	Junction reservoir - Kamloops Strain	Kamloops (Hot Creek)	na	na	48	48	1
63	"Moccasin Creek Hatchery, Hot Creek strain RTH-02 bag 1"	"Hot Creek, Moccasin (American River)"	na	na	2	44	
64	Eagle Lake Strain	Eagle Lake (American River)	na	na	45	48	
