samples_source_ref,reseqed?,Migratory_Access,InversionFreq,N,Pop_ID,Pop_Group,Population,Pop_Order,Map_Number,Latitude,Longitude,checked,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,after HM,Nlost,R24370,3,SH114448,4
M. McPhee,,Below barrier,0.83,43,kamchaA,Kamchatka,Kamchatka (anadromous),1,na,55.80,157.106,,Russia,Kamchatka,Sopochnaya River,,,Sopochnaya River,,,40,3,KamchaAM,83.75,KamchaAM,84.21
M. McPhee,,Below barrier,0.86,34,kamchaR,Kamchatka,Kamchatka (nonanadromous),2,na,55.80,157.106,,Russia,Kamchatka,Sopochnaya River,,,Sopochnaya River,,,32,2,KamchaRM,84.38,KamchaRM,85.48
K. Nichols,,Above barrier,1.00,24,SashinA,Sashin,Sashin (above falls),3,,56.38,-134.654,,Alaska,Sitka,Sashin Creek,,,Sashin Creek,,,24,0,,,,
K. Nichols,,Below barrier,0.88,24,SashinB,Sashin,Sashin (below falls),4,,56.35,-134.705,,Alaska,Sitka,Sashin Creek,,,Sashin Creek,,,24,0,,,,
K. Naish,4,Below barrier,1.00,74,QNFH,WashCoast,Quinault National Fish Hatchery,,,47.36,-123.993,ok,Washington,,,,,,,,,,,,,
K. Naish,4,Below barrier,0.96,73,Skamania,Columbia,Skamania,,,45.69,-122.236,,Washington,,,,,,,,,,,,,
K. Naish,4,Below barrier,0.71,75,LQ,WashCoast,Lake Quinault,,,47.46,-123.871,,Washington,,,,,,,,,,,,,
K. Naish,4,Below barrier,1.00,75,Dworshak,UpColumbia,Dworshak,,,46.51,-116.324,ok,Idaho,,Columbia River,,Clearwater River,Clearwater River,,,,,,,,
K. Naish,4,Below barrier,0.69,72,Elwah,WashCoast,Elwha River,,,48.14,-123.564,,Washington,,,,,,,,,,,,,
D. Teel,,Below barrier,0.93,23,ColWash,Columbia,"Columbia, Washougal (summer)",5,7,45.61,-122.241,,Washington,Pacific,Columbia River,,,Washougal River,,,22,1,ColWashM,93.18,ColWashM,92.86
Narum et al. 2008,,Above barrier,0.95,15,KlickUp,Columbia,"Columbia, Little Klickitat (upper)",6,4,45.91,-120.707,ok,Washington,Klickitat,Columbia River,Klickitat River,,Little Klickitat River,Upper,,10,5,KlickUpM,95.00,KlickUpM,95.00
Narum et al. 2008,,Above barrier,0.92,33,KlickMi,Columbia,"Columbia, Little Klickitat (middle)",7,5,45.86,-120.751,ok,Washington,Klickitat,Columbia River,Klickitat River,,Little Klickitat River,Middle,,24,9,KlickMiM,91.67,KlickMiM,95.83
Narum et al. 2008,,Below barrier,0.85,46,KlickLo,Columbia,"Columbia, Little Klickitat (lower)",8,6,45.82,-120.994,ok,Washington,Klickitat,Columbia River,Klickitat River,,Little Klickitat River,Lower,,44,2,KlickLoM,85.23,KlickLoM,88.64
M. Ackerman/ Bowersox et al. 2016,,Above barrier,1.00,45,ColBBbe,UpColumbia,"Columbia, Snake, Potlatch, Big Bear (above falls)",9,1,46.73,-116.613,ok,Idaho,,Columbia River,Snake River,Clearwater River,Big Bear Creek,above Big Bear Falls,,42,3,ColBBbeM,100.00,ColBBbeM,100.00
M. Ackerman/ Bowersox et al. 2016,,Below barrier,1.00,49,ColBBab,UpColumbia,"Columbia, Snake, Potlatch, Big Bear (below falls)",10,2,46.63,-116.653,ok,Idaho,,Columbia River,Snake River,Clearwater River,Big Bear Creek,below Big Bear Falls,,48,1,ColBBabM,100.00,ColBBabM,100.00
S. Narum/ Blankenship et al. 2011,,Below barrier,0.45,47,Lemhi,UpColumbia,"Coumbia, Snake, Salmon, Lemhi",11,3,44.99,-113.653,,Idaho,,Columbia River,Snake River,Salmon River,Lemhi River,,,41,6,LemhiM,45.12,LemhiM,90.00
Arciniega et al. 2016,,Below barrier,0.91,24,ColStil,Columbia,"Columbia, Sandy, Still (summer)",12,8,45.30,-121.880,,Washington,Pacific,Columbia River,Sandy River,,Still Creek,,,23,1,ColStilM,93.48,ColStilM,93.18
Arciniega et al. 2016,,Below barrier,1.00,23,ColWily,Columbia,"Columbia, Willamette, Wiley (winter)",13,9,44.29,-122.467,,Washington,Pacific,Columbia River,Willamette River,South Santiam River,Wiley Creek,,,22,1,ColWilyM,100.00,ColWilyM,100.00
Pearse et al. 2011,,Above barrier,0.88,20,FortRoc,InteriorOregon,"Fort Rock, Buck",14,10,43.14,-121.136,,Oregon,,Fort Rock Basin,,,Buck Creek,,,20,0,FortRocM,87.50,FortRocM,72.50
Pearse et al. 2011,,Above barrier,1.00,20,Goose,InteriorOregon,"Klamath, Goose Lake, Thomas",15,14,42.28,-120.489,,Oregon,,Klamath River,Goose Lake Basin,,Thomas Creek,,,20,0,GooseM,100.00,GooseM,97.50
Pearse et al. 2011,,Above barrier,0.45,24,UKDeep,InteriorOregon,"Upper Klamath Lake, Williamson, Spring (above marsh)",16,11,42.95,-121.485,,Oregon,,Upper Klamath Lake,Williamson River,Above Klamath Marsh,Williamson River,Deep Creek Ranch,,22,2,UKDeepM,45.45,UKDeepM,79.55
Pearse et al. 2011,,Above barrier,1.00,27,UKSprng,InteriorOregon,"Upper Klamath Lake, Williamson, Spring (below marsh)",17,12,42.85,-121.760,,Oregon,,Upper Klamath Lake,Williamson River,Below Klamath Marsh,Spring Creek,,,27,0,UKSprngM,100.00,UKSprngM,94.44
Pearse et al. 2011,,Above barrier,1.00,17,UKSprag,InteriorOregon,"Upper Klamath lake, Sprague",18,13,42.50,-121.010,,Oregon,,Upper Klamath Lake,Sprague River,,Sprague River,Ridgeway Ranch,,17,0,UKSpragM,100.00,UKSpragM,100.00
Pearse et al. 2011,,Above barrier,1.00,27,UKChery,Klamath,"Upper Klamath Lake, Cherry",19,15,42.63,-122.210,,Oregon,,Upper Klamath Lake,,,Cherry Creek,above Diversion,,27,0,UKCheryM,100.00,UKCheryM,92.59
Pearse et al. 2007,,Below barrier,0.78,23,MEBR,Klamath,"Klamath, Elk, Bear (below barrier)",20,21,41.65,-123.30,updated,California,Del Norte,Klamath River,Elk Creek,,Bear Creek,Middle Klamath,,16,7,MEBRM,78.13,MEBRM,78.13
Pearse et al. 2007,,Above barrier,0.98,23,MESZ,Klamath,"Klamath, Elk, Stanza, (above barrier)",21,20,41.66,-123.32,updated,California,Del Norte,Klamath River,Elk Creek,,Stanza Creek,Middle Klamath,,23,0,MESZM,97.83,MESZM,97.83
Pearse et al. 2007,,Above barrier,0.98,24,MEUP,Klamath,"Klamath, Upper Elk (above barrier)",22,18,41.74,-123.30,updated,California,Del Norte,Klamath River,Elk Creek,East Fork Elk Creek,Upper Elk Creek,Middle Klamath,,24,0,MEUPM,97.92,MEUPM,97.92
Pearse et al. 2007,,Below barrier,0.73,23,MEEF,Klamath,"Klamath, East Fork Elk (below barrier)",23,16,41.74,-123.35,updated,California,Del Norte,Klamath River,Elk Creek,,East Fork Elk Creek,Middle Klamath,,20,3,MEEFM,72.50,MEEFM,72.50
Pearse et al. 2007,,Below barrier,0.43,28,MCTM,Klamath,"Klamath, Clear, Tenmile (below barrier)",24,17,41.74,-123.55,updated,California,Del Norte,Klamath River,Clear Creek,,Tenmile Creek,Middle Klamath,,27,1,MCTMM,42.59,MCTMM,44.23
Pearse et al. 2007,,Above barrier,1.00,12,MCSP,Klamath,"Klamath, Clear, Slippery (above barrier)",25,19,41.71,-123.52,updated,California,Del Norte,Klamath River,Clear Creek,,Slippery Creek,Middle Klamath,,11,1,MCSPM,100.00,MCSPM,100.00
Pearse et al. 2007,,Below barrier,0.67,27,MPTI,Klamath,"Klamath, Ti (below barrier)",26,23,41.52,-123.52,updated,California,Del Norte,Klamath River,,,Ti Creek,Middle Klamath,,26,1,MPTIM,67.31,MPTIM,67.31
Pearse et al. 2007,,Above barrier,0.93,27,MPRK,Klamath,"Klamath, Rock (above barrier)",27,22,41.51,-123.55,updated,California,Del Norte,Klamath River,,,Rock Creek,Middle Klamath,,27,0,MPRKM,92.59,MPRKM,91.67
Arciniega et al. 2016,,Below barrier,0.48,47,TrinNew,Klamath,"Klamath, Trinity, New",28,24,41.03,-123.349,,California,Del Norte,Klamath River,Trinity River,,New River,New River Weir,,41,6,TrinNewM,47.56,TrinNewM,47.56
Arciniega et al. 2016,,Below barrier,0.57,24,TriWill,Klamath,"Klamath, Trinity, Willow",29,25,40.90,-123.768,,California,Del Norte,Klamath River,,,Trinity River,Willow Creek Weir,,23,1,TriWillM,56.52,TriWillM,63.89
Arciniega et al. 2016,,Below barrier,0.67,47,SFTrini,Klamath,"Klamath, Trinity, Sandy Bar",30,28,40.17,-123.049,,California,Del Norte,Klamath River,Trinity River,,South Fork Trinity River,Sandy Bar,,47,0,SFTriniM,67.02,SFTriniM,67.05
Arciniega et al. 2016,,Above barrier,1.00,23,EelCutf,NorCal,"Eel, Cutfinger",31,29,40.12,-123.036,,California,Humboldt,Eel River,Middle Fork Eel River,,Cutfinger Creek,,,22,1,EelCutfM,100.00,EelCutfM,100.00
Arciniega et al. 2016,,Below barrier,0.41,23,MFEel,NorCal,"Eel, Middle Fork (summer)",32,32,39.70,-123.282,,California,Humboldt,Eel River,,,Middle Fork Eel River,,,23,0,MFEelM,41.30,MFEelM,41.30
Arciniega et al. 2016,,Above barrier,0.98,24,EelWill,NorCal,"Eel, NF MF (above barrier)",33,30,40.08,-123.135,,California,Humboldt,Eel River,Middle Fork Eel River,,North Fork Middle Fork Eel River,above Willow Creek barrier,,22,2,EelWillM,97.73,EelWillM,97.73
Arciniega et al. 2016,,Below barrier,0.25,24,EelVArs,NorCal,"Eel, VAFS (winter)",34,33,39.38,-123.114,,California,Humboldt,Eel River,,,Eel River, Van Arsdale Fisheries Station,,24,0,EelVArsM,25.00,EelVArsM,29.55
Pearse & Garza 2015,,Above barrier,1.00,21,McClB,NorCal,"Sacramento, McCloud, Butcherknife",35,26,41.12,-122.030,,California,San Francisco ,Sacramento River,McCloud River,,Butcherknife Creek,,,21,0,McClBM,100.00,McClBM,100.00
Pearse & Garza 2015,,Above barrier,0.96,26,McClC,NorCal,"Sacramento, McCloud, Claiborn",36,27,41.06,-122.097,,California,San Francisco ,Sacramento River,McCloud River,,Claiborne Creek,,,25,1,McClCM,96.00,McClCM,100.00
Pearse & Garza 2015,,Above barrier,0.98,43,EagleL,NorCal,Eagle Lake,37,34,40.65,-120.744,,California,Lassen,Eagle Lake,,,Eagle Lake,,,42,1,EagleLM,97.62,EagleLM,98.81
Pearse & Garza 2015,,Below barrier,0.06,24,ColemH,CV,Coleman (steelhead),38,31,40.40,-122.145,,California,San Francisco,Sacramento River,,,Battle Creek,,Coleman Hatchery,24,0,ColemHM,6.25,ColemHM,50.00
Pearse & Garza 2015,,Below barrier,0.24,24,FeatRH,CV,Feather River (steelhead),39,35,39.52,-121.553,,California,San Francisco ,Sacramento River,,,Feather River,,Feather River Hatchery,23,1,FeatRHM,23.91,FeatRHM,38.64
Pearse & Garza 2015,,Below barrier,0.09,23,NimbH,CV,Nimbus (steelhead),40,37,38.64,-121.226,,California,San Francisco ,Sacramento River,,,American River,,Nimbus Hatchery,23,0,NimbHM,8.70,NimbHM,17.39
Pearse & Garza 2015,,Above barrier,0.74,18,SFF,CV,"Sacramento, American, South Fork (above reservoir)",41,36,38.82,-120.945,,California,San Francisco ,Sacramento River,American River,,South Fork American River,"Above Folsom Reservoir, below Coloma at Greenwood Creek",,17,1,SFFM,73.53,SFFM,79.41
Pearse & Garza 2015,,Below barrier,0.13,23,MokeRH,CV,Mokelumne River (steelhead),42,38,38.22,-121.038,,California,San Francisco,Sacramento River,,,Mokelumne River,,Mokelumne River Hatchery,23,0,MokeRHM,13.04,MokeRHM,39.13
present study,,Below barrier,0.38,64,BigCr,CenCal,Big Creek,43,39,36.08,-121.598,,California,Monterey,Big Creek,,,Big Creek,,,61,3,BigCrM,37.70,BigCrM,42.50
Clemento et al. 2009,,Above barrier,0.39,23,AGLopez,CenCal,"Arroyo Grande, Lopez Canyon (above barrier)",44,40,35.24,-120.475,,California,San Luis Obispo,Arroyo Grande Creek,Arroyo Grande Creek,,Lopez Canyon Creek,,,22,1,AGLopezM,38.64,AGLopezM,38.64
