samples_source_ref,Resequenced,Migratory_Access,InversionFreq,N,Pop_ID,Pop_Group,Population,Pop_Order,Map_Number,Latitude,Longitude,checked,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,after HM,Nlost,R24370,3,SH114448,4,initial_map_order,trial_map_order
B. Koop,NA,Above barrier,1,10,Peace River,BC,NA,NA,NA,56.7828222,-122.7000861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
K. Nichols,NA,Above barrier,1,24,SashinA,Sashin,Sashin (above falls),3,NA,56.38,-134.654,NA,Alaska,Sitka,Sashin Creek,NA,NA,Sashin Creek,NA,NA,24,0,NA,NA,NA,NA,2,2
K. Nichols,NA,Below barrier,0.88,24,SashinB,Sashin,Sashin (below falls),4,NA,56.35,-134.705,NA,Alaska,Sitka,Sashin Creek,NA,NA,Sashin Creek,NA,NA,24,0,NA,NA,NA,NA,3,3
B. Koop,NA,Below barrier,0.4,5,Nilkitkwa,BC,NA,NA,NA,55.5757889,-126.6666556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
B. Koop,NA,Above barrier,1,8,Carp Lake,BC,NA,NA,NA,54.7587194,-123.3330139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
B. Koop,NA,Above barrier,1,10,Athabasca,BC,NA,NA,NA,53.3798694,-117.6721278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6
B. Koop,NA,Below barrier,1,5,Kitimat,BC,NA,NA,NA,54.0854861,-128.6348917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7
B. Koop,NA,Above barrier,0.94,8,Blackwater River,BC,NA,NA,NA,53.2913194,-123.0267306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
B. Koop,NA,Above barrier,1,8,Tzenziacut Lake,BC,NA,NA,NA,52.6631556,-122.8839167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9
B. Koop,NA,Above barrier,0.5,3,Horsefly River,BC,NA,NA,NA,52.3733278,-121.0593361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10
B. Koop,NA,Below barrier,0.9,10,Haida,BC,NA,NA,NA,53.1361083,-132.2260361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11
B. Koop,NA,Above barrier,1,8,Pennask Lake,BC,NA,NA,NA,49.98985,-120.1005472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12
B. Koop,NA,Below barrier,0.94,8,Coquihalla,BC,NA,NA,NA,49.4614111,-121.2593889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13
B. Koop,NA,Below barrier,0.9,10,Gold,BC,NA,NA,NA,50.1338222,-126.6910528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14
K. Warheit,NA,Below barrier,0.38,4,Nooksack,PugetSound,NA,NA,NA,48.88,-121.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15
K. Warheit,NA,Below barrier,1,9,Kendall,PugetSound,NA,NA,NA,48.896,-122.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16
K. Warheit,NA,Below barrier,0.88,8,Skagit,PugetSound,NA,NA,NA,48.53,-121.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17
K. Warheit,NA,Below barrier,0.83,6,Sauk,PugetSound,NA,NA,NA,48.428,-121.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18
K. Warheit,NA,Below barrier,1,9,Marblemount,PugetSound,NA,NA,NA,48.283,-121.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19
K. Naish,4,Below barrier,0.69,72,Elwah,WashCoast,Elwha River,NA,NA,48.14,-123.564,NA,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20
K. Warheit,NA,Below barrier,0.25,4,Sky,PugetSound,NA,NA,NA,47.746,-121.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21
K. Warheit,NA,Below barrier,0.56,8,Sno,PugetSound,NA,NA,NA,47.61,-121.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22
K. Warheit,NA,Below barrier,1,5,Tokul,PugetSound,NA,NA,NA,47.552,-121.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23
K. Naish,4,Below barrier,0.71,75,LQ,WashCoast,Lake Quinault,NA,NA,47.46,-123.871,NA,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24
K. Warheit,NA,Below barrier,0.75,8,Green,PugetSound,NA,NA,NA,47.24,-121.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,NA,NA,NA,NA,NA,26,25
K. Naish,4,Below barrier,1,74,QNFH,WashCoast,Quinault National Fish Hatchery,NA,NA,47.36,-123.993,ok,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26
M. Ackerman/ Bowersox et al. 2016,NA,Above barrier,1,45,ColBBbe,UpColumbia,"Columbia, Snake, Potlatch, Big Bear (above falls)",9,1,46.73,-116.613,ok,Idaho,NA,Columbia River,Snake River,Clearwater River,Big Bear Creek,above Big Bear Falls,NA,42,3,ColBBbeM,100,ColBBbeM,100,27,27
M. Ackerman/ Bowersox et al. 2016,2,Below barrier,1,49,ColBBab,UpColumbia,"Columbia, Snake, Potlatch, Big Bear (below falls)",10,2,46.63,-116.653,ok,Idaho,NA,Columbia River,Snake River,Clearwater River,Big Bear Creek,below Big Bear Falls,NA,48,1,ColBBabM,100,ColBBabM,100,28,28
K. Naish,4,Below barrier,1,75,Dworshak,UpColumbia,Dworshak,NA,NA,46.51,-116.324,ok,Idaho,NA,Columbia River,NA,Clearwater River,Clearwater River,NA,NA,NA,NA,NA,NA,NA,NA,29,29
Narum et al. 2008,NA,Above barrier,0.95,15,KlickUp,Columbia,"Columbia, Little Klickitat (upper)",6,4,45.91,-120.707,ok,Washington,Klickitat,Columbia River,Klickitat River,NA,Little Klickitat River,Upper,NA,10,5,KlickUpM,95,KlickUpM,95,30,30
Narum et al. 2008,NA,Above barrier,0.92,33,KlickMi,Columbia,"Columbia, Little Klickitat (middle)",7,5,45.86,-120.751,ok,Washington,Klickitat,Columbia River,Klickitat River,NA,Little Klickitat River,Middle,NA,24,9,KlickMiM,91.67,KlickMiM,95.83,31,31
Narum et al. 2008,NA,Below barrier,0.85,46,KlickLo,Columbia,"Columbia, Little Klickitat (lower)",8,6,45.82,-120.994,ok,Washington,Klickitat,Columbia River,Klickitat River,NA,Little Klickitat River,Lower,NA,44,2,KlickLoM,85.23,KlickLoM,88.64,32,32
K. Naish,4,Below barrier,0.96,73,Skamania,Columbia,Skamania,NA,NA,45.69,-122.236,NA,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33
D. Teel,NA,Below barrier,0.93,23,ColWash,Columbia,"Columbia, Washougal (summer)",5,7,45.61,-122.241,NA,Washington,Pacific,Columbia River,NA,NA,Washougal River,NA,NA,22,1,ColWashM,93.18,ColWashM,92.86,34,34
Arciniega et al. 2016,NA,Below barrier,0.91,24,ColStil,Columbia,"Columbia, Sandy, Still (summer)",12,8,45.3,-121.88,NA,Washington,Pacific,Columbia River,Sandy River,NA,Still Creek,NA,NA,23,1,ColStilM,93.48,ColStilM,93.18,35,35
S. Narum/ Blankenship et al. 2011,NA,Below barrier,0.45,47,Lemhi,UpColumbia,"Coumbia, Snake, Salmon, Lemhi",11,3,44.99,-113.653,NA,Idaho,NA,Columbia River,Snake River,Salmon River,Lemhi River,NA,NA,41,6,LemhiM,45.12,LemhiM,90,36,36
Arciniega et al. 2016,NA,Below barrier,1,23,ColWily,Columbia,"Columbia, Willamette, Wiley (winter)",13,9,44.29,-122.467,NA,Washington,Pacific,Columbia River,Willamette River,South Santiam River,Wiley Creek,NA,NA,22,1,ColWilyM,100,ColWilyM,100,37,37
Pearse et al. 2011,NA,Above barrier,0.88,20,FortRoc,InteriorOregon,"Fort Rock, Buck",14,10,43.14,-121.136,NA,Oregon,NA,Fort Rock Basin,NA,NA,Buck Creek,NA,NA,20,0,FortRocM,87.5,FortRocM,72.5,38,38
Pearse et al. 2011,2,Above barrier,0.45,24,UKDeep,InteriorOregon,"Upper Klamath Lake, Williamson, Spring (above marsh)",16,11,42.95,-121.485,NA,Oregon,NA,Upper Klamath Lake,Williamson River,Above Klamath Marsh,Williamson River,Deep Creek Ranch,NA,22,2,UKDeepM,45.45,UKDeepM,79.55,39,39
Pearse et al. 2011,NA,Above barrier,1,27,UKSprng,InteriorOregon,"Upper Klamath Lake, Williamson, Spring (below marsh)",17,12,42.85,-121.76,NA,Oregon,NA,Upper Klamath Lake,Williamson River,Below Klamath Marsh,Spring Creek,NA,NA,27,0,UKSprngM,100,UKSprngM,94.44,40,40
Pearse et al. 2011,NA,Above barrier,1,27,UKChery,Klamath,"Upper Klamath Lake, Cherry",19,15,42.63,-122.21,NA,Oregon,NA,Upper Klamath Lake,NA,NA,Cherry Creek,above Diversion,NA,27,0,UKCheryM,100,UKCheryM,92.59,41,41
Pearse et al. 2011,2,Above barrier,1,17,UKSprag,InteriorOregon,"Upper Klamath lake, Sprague",18,13,42.5,-121.01,NA,Oregon,NA,Upper Klamath Lake,Sprague River,NA,Sprague River,Ridgeway Ranch,NA,17,0,UKSpragM,100,UKSpragM,100,42,42
Pearse et al. 2011,NA,Above barrier,1,20,Goose,InteriorOregon,"Klamath, Goose Lake, Thomas",15,14,42.28,-120.489,NA,Oregon,NA,Klamath River,Goose Lake Basin,NA,Thomas Creek,NA,NA,20,0,GooseM,100,GooseM,97.5,43,43
Pearse et al. 2007,NA,Above barrier,0.98,24,MEUP,Klamath,"Klamath, Upper Elk (above barrier)",22,18,41.74,-123.3,updated,California,Del Norte,Klamath River,Elk Creek,East Fork Elk Creek,Upper Elk Creek,Middle Klamath,NA,24,0,MEUPM,97.92,MEUPM,97.92,44,44
Pearse et al. 2007,NA,Below barrier,0.73,23,MEEF,Klamath,"Klamath, East Fork Elk (below barrier)",23,16,41.74,-123.35,updated,California,Del Norte,Klamath River,Elk Creek,NA,East Fork Elk Creek,Middle Klamath,NA,20,3,MEEFM,72.5,MEEFM,72.5,45,45
Pearse et al. 2007,NA,Below barrier,0.43,28,MCTM,Klamath,"Klamath, Clear, Tenmile (below barrier)",24,17,41.74,-123.55,updated,California,Del Norte,Klamath River,Clear Creek,NA,Tenmile Creek,Middle Klamath,NA,27,1,MCTMM,42.59,MCTMM,44.23,46,46
Pearse et al. 2007,NA,Above barrier,1,12,MCSP,Klamath,"Klamath, Clear, Slippery (above barrier)",25,19,41.71,-123.52,updated,California,Del Norte,Klamath River,Clear Creek,NA,Slippery Creek,Middle Klamath,NA,11,1,MCSPM,100,MCSPM,100,47,47
Pearse et al. 2007,NA,Above barrier,0.98,23,MESZ,Klamath,"Klamath, Elk, Stanza, (above barrier)",21,20,41.66,-123.32,updated,California,Del Norte,Klamath River,Elk Creek,NA,Stanza Creek,Middle Klamath,NA,23,0,MESZM,97.83,MESZM,97.83,48,48
Pearse et al. 2007,NA,Below barrier,0.78,23,MEBR,Klamath,"Klamath, Elk, Bear (below barrier)",20,21,41.65,-123.3,updated,California,Del Norte,Klamath River,Elk Creek,NA,Bear Creek,Middle Klamath,NA,16,7,MEBRM,78.13,MEBRM,78.13,49,49
Pearse et al. 2007,NA,Below barrier,0.67,27,MPTI,Klamath,"Klamath, Ti (below barrier)",26,23,41.52,-123.52,updated,California,Del Norte,Klamath River,NA,NA,Ti Creek,Middle Klamath,NA,26,1,MPTIM,67.31,MPTIM,67.31,50,50
Pearse et al. 2007,NA,Above barrier,0.93,27,MPRK,Klamath,"Klamath, Rock (above barrier)",27,22,41.51,-123.55,updated,California,Del Norte,Klamath River,NA,NA,Rock Creek,Middle Klamath,NA,27,0,MPRKM,92.59,MPRKM,91.67,51,51
Arciniega et al. 2016,NA,Below barrier,0.48,47,TrinNew,Klamath,"Klamath, Trinity, New",28,24,41.03,-123.349,NA,California,Del Norte,Klamath River,Trinity River,NA,New River,New River Weir,NA,41,6,TrinNewM,47.56,TrinNewM,47.56,54,52
Arciniega et al. 2016,NA,Below barrier,0.57,24,TriWill,Klamath,"Klamath, Trinity, Willow",29,25,40.9,-123.768,NA,California,Del Norte,Klamath River,NA,NA,Trinity River,Willow Creek Weir,NA,23,1,TriWillM,56.52,TriWillM,63.89,55,53
Pearse & Garza 2015,NA,Above barrier,1,21,McClB,NorCal,"Sacramento, McCloud, Butcherknife",35,26,41.12,-122.03,NA,California,San Francisco,Sacramento River,McCloud River,NA,Butcherknife Creek,NA,NA,21,0,McClBM,100,McClBM,100,52,54
Pearse & Garza 2015,NA,Above barrier,0.96,26,McClC,NorCal,"Sacramento, McCloud, Claiborn",36,27,41.06,-122.097,NA,California,San Francisco,Sacramento River,McCloud River,NA,Claiborne Creek,NA,NA,25,1,McClCM,96,McClCM,100,53,55
Pearse & Garza 2015,NA,Below barrier,0.06,24,ColemH,CV,Coleman (steelhead),38,31,40.4,-122.145,NA,California,San Francisco,Sacramento River,NA,NA,Battle Creek,NA,Coleman Hatchery,24,0,ColemHM,6.25,ColemHM,50,57,56
Pearse & Garza 2015,NA,Above barrier,0.98,43,EagleL,NorCal,Eagle Lake,37,34,40.65,-120.744,NA,California,Lassen,Eagle Lake,NA,NA,Eagle Lake,NA,NA,42,1,EagleLM,97.62,EagleLM,98.81,56,57
Arciniega et al. 2016,NA,Below barrier,0.67,47,SFTrini,Klamath,"Klamath, Trinity, Sandy Bar",30,28,40.17,-123.049,NA,California,Del Norte,Klamath River,Trinity River,NA,South Fork Trinity River,Sandy Bar,NA,47,0,SFTriniM,67.02,SFTriniM,67.05,58,58
Arciniega et al. 2016,NA,Above barrier,1,23,EelCutf,NorCal,"Eel, Cutfinger",31,29,40.12,-123.036,NA,California,Humboldt,Eel River,Middle Fork Eel River,NA,Cutfinger Creek,NA,NA,22,1,EelCutfM,100,EelCutfM,100,59,59
Arciniega et al. 2016,NA,Above barrier,0.98,24,EelWill,NorCal,"Eel, NF MF (above barrier)",33,30,40.08,-123.135,NA,California,Humboldt,Eel River,Middle Fork Eel River,NA,North Fork Middle Fork Eel River,above Willow Creek barrier,NA,22,2,EelWillM,97.73,EelWillM,97.73,60,60
Arciniega et al. 2016,NA,Below barrier,0.41,23,MFEel,NorCal,"Eel, Middle Fork (summer)",32,32,39.7,-123.282,NA,California,Humboldt,Eel River,NA,NA,Middle Fork Eel River,NA,NA,23,0,MFEelM,41.3,MFEelM,41.3,61,61
Arciniega et al. 2016,2,Below barrier,0.25,24,EelVArs,NorCal,"Eel, VAFS (winter)",34,33,39.38,-123.114,NA,California,Humboldt,Eel River,NA,NA,Eel River,Van Arsdale Fisheries Station,NA,24,0,EelVArsM,25,EelVArsM,29.55,63,62
Pearse & Garza 2015,2,Below barrier,0.24,24,FeatRH,CV,Feather River (steelhead),39,35,39.52,-121.553,NA,California,San Francisco,Sacramento River,NA,NA,Feather River,NA,Feather River Hatchery,23,1,FeatRHM,23.91,FeatRHM,38.64,62,63
